File,Mean,Variance,Standard Deviation,Range
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureStreamingIteratorForVariableBatchSize#bufferSupplierStr=NO_CACHING&bytes=ONES&compressionType=LZ4&maxBatchSize=500&messageSize=1000&messageVersion=2.json,0.0001640805105830709,1.2799221045141598e-09,3.577002388622727e-05,0.00042368
cantaloupe-project__cantaloupe#edu.illinois.library.cantaloupe.perf.processor.codec.TIFFImageWriterPerformance.testWriteWithPlanarImage#.json,0.0028310587238380767,1.8709427965121227e-05,0.004324717215169679,0.2106932662857143
JCTools__JCTools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=10&qType=MpscArrayQueue.json,1.3289512214104276e-06,9.312224841041048e-14,3.051084159033139e-07,2.269802524664939e-06
hazelcast__hazelcast#com.hazelcast.internal.util.collection.OAHashSetBenchmark.contains_java_HashSet#size=100.json,5.083230301172831e-07,1.0743357398467423e-14,1.0363285725455587e-07,1.58151323859107e-06
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field#.json,6.575929976771042e-08,2.1440728988979319e-16,1.4640207565759465e-08,5.711165638741573e-07
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ChainMapPutTest.hppc#isPresized=false&loadFactor=0.75f&size=5000000.json,2.4080068030674684,0.009099841184391761,0.09537715567827937,2.8563210239999997
JCTools__JCTools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1000&qType=MpscArrayQueue.json,9.229855424588752e-05,4.4065213407713534e-10,2.0988209920706434e-05,6.86794479121953e-05
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.KShortestPathsPerformance.testEppsteinKShortestPaths#k=50&n=100&numberOfQueries=20&p=0.3.json,0.046775947885103544,3.132509233045965e-05,0.005595947614816528,0.2556559359999999
hazelcast__hazelcast#com.hazelcast.query.impl.bitmap.SparseBitSetAddBenchmark.sequentialAdd_Roaring#.json,7.217823124549223e-08,5.3565099046523584e-17,7.317595795879873e-09,2.08115606293571e-07
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJavaStringReplaceReduce#matches=1&size=3.json,1.259822487547242e-07,1.0161537200080766e-13,3.18718421699783e-07,1.2878610342091694e-05
netty__netty#io.netty.microbenchmark.common.AppendableCharSequenceBenchmark.appendCheckBeforeCopy#charsInitSize=64&simulatedDataSize=10000.json,6.80379499940771e-08,1.6052661579047642e-15,4.0059081328250404e-08,4.913566909586986e-07
eclipse__rdf4j#org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerSchema#param=longChain::5803.json,0.0408843256931641,1.4313671922286568e-05,0.0037827094967419032,0.034832383999999994
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000.json,0.10244909727722111,2.0868118506830106e-06,0.001444338898159601,0.017170432000000013
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToInputStream#.json,2.797748549167991e-06,1.1876958315559945e-12,1.0896325708978633e-06,1.8542226712178293e-05
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybePerf.flowablePlain#count=1000.json,2.6960942969186238e-05,2.5444163134113205e-12,1.5948562552666894e-06,3.764312235918241e-05
netty__netty#io.netty.buffer.AbstractByteBufGetCharSequenceBenchmark.getCharSequence#bufferType=COMPOSITE&charsetName=US-ASCII&size=8.json,2.6147798455209446e-07,1.3380273672676062e-15,3.6572947165074445e-08,1.404689231450812e-06
raphw__byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline#.json,7.831694971155031e-09,6.412207701455484e-16,2.5318108174815223e-08,8.378427356291878e-07
crate__crate#io.crate.operation.aggregation.HyperLogLogDistinctAggregationBenchmark.benchmarkHLLPlusPlusMurmur128#.json,0.0007430524763221525,5.752050095417607e-09,7.582960439696997e-05,0.0007497148631578946
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field#.json,6.807544761892515e-08,4.855884504028332e-16,2.203239122772764e-08,9.520695519277452e-07
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.fastDateFormat#.json,6.839432016370412e-07,1.0069426455890873e-12,1.0032977252043284e-06,1.87621244414023e-05
cantaloupe-project__cantaloupe#edu.illinois.library.cantaloupe.perf.processor.codec.PNGImageWriterPerformance.testWriteWithBufferedImageAndNativeMetadata#.json,0.0015881867859483245,9.256373781532377e-08,0.000304192079783856,0.011413308235294116
eclipse__rdf4j#org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoningMultipleTransactions#param=longChain::5803.json,0.0021904728345763925,2.15296587749777e-07,0.00046392313846350795,0.008093572316862745
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceSame#matches=3&size=100.json,3.2505381639638864e-07,1.4184410643587853e-13,3.7655906617000267e-07,1.4985278116996026e-05
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=10.json,2.1507071224305064e-06,5.700702049185227e-13,7.549038354045256e-07,2.0087241333822968e-05
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.55&size=4250000.json,0.7106186243420175,0.0020021413366834214,0.044737820899124016,0.569376768
crate__crate#io.crate.data.join.RowsBatchIteratorBenchmark.measureConsumeHashInnerJoin#.json,0.0008676388607186766,2.9054973743097946e-09,5.389366321104008e-05,0.0023080357152820514
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2.json,0.00012731270712993973,4.126214637022168e-09,6.422488984670007e-05,0.0020805357381818183
jdbi__jdbi#org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringEquals#.json,5.345163183850479e-08,1.2535543924318062e-16,1.1194354396703629e-08,6.017041885462751e-07
raphw__byte-buddy#net.bytebuddy.benchmark.StubInvocationBenchmark.baseline#.json,5.047415894300019e-09,6.403578486066113e-20,2.5301066543322933e-10,1.3357587149692414e-08
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=stddev_samp&dataType=double&evalMode=PARTIAL1&hasNulls=false&isRepeating=false&processMode=HASH.json,6.34062641561518e-06,5.548766374044188e-16,2.3551885441853855e-08,5.936365290838355e-07
eclipse__rdf4j#org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct#countk=50&limit=10&syncThreshold=0.json,0.21076307554843018,6.544950368364632e-05,0.008088735591053468,0.07890534399999999
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersSetBenchmark.vertxSmall#.json,3.7015366985337636e-07,7.598446513921853e-14,2.756067601245412e-07,1.1469841036603589e-05
jgrapht__jgrapht#org.jgrapht.perf.flow.MaximumFlowAlgorithmPerformanceTest.EdmondsKarpMaximumFlowRandomGraphBenchmark.run#.json,2.9986247649218445,0.14588330808446945,0.3818829439300325,1.8832424960000003
