Project,Benchmark,Average Duration,Standard Deviation
HdrHistogram,encodeIntoCompressedByteBuffer,1.1474762548313382e-05,0.00011269350521998951
apache,jmh,6.386812300661158e-08,5.233876650067135e-09
apache,NormalizeUriTest,0.00025572312819170537,0.0116201646941124
raphw,benchmarkByteBuddyWithProxy,7.385189908472024e-09,1.2350815952621184e-08
jdbi,batchJdbiMap,0.2528560283647987,0.02399665347150587
HdrHistogram,encodeIntoCompressedByteBuffer,3.016833662892029e-05,0.0001229952135033267
eclipse,map,1.4345041171797344,0.32634674614068854
r2dbc,simpleR2dbc,8.668396422411277e-05,0.0011596304414159063
zalando,replace1xResponse,3.371978017116844e-07,3.250813854933165e-07
r2dbc,preparedJdbc,1.0033405622551754e-05,1.4718068028740534e-06
eclipse,map,0.5424764420095661,0.04351368546123385
HdrHistogram,encodeIntoCompressedByteBuffer,3.188996280606521e-05,0.00022697443378717487
eclipse,ListVsMapBenchmark,3.9863586205847576e-06,2.0848423692832167e-06
h2oai,rawArrayRead,0.0013063496521418087,2.969369090002722e-06
apache,JdbcAdapterBenchmarks,0.0009177068971620046,0.0067720587649927515
h2oai,writeMap,1.0062893765973397,0.24687330682661143
ReactiveX,flatMapCompletable,7.119131150472385,0.7611424654337337
cantaloupe-project,processor,0.00167294788882381,0.0052530092233334744
apache,operators,8.99836186933746e-08,1.4401982511026139e-08
prometheus,prometheusSimpleSummaryNoLabelsBenchmark,5.822908882216425e-08,5.515157833957547e-09
HdrHistogram,encodeIntoCompressedByteBuffer,1.3042723329410108e-05,0.00013890807116150226
hazelcast,portable,6.352437191152413e-07,3.426819862736362e-07
zalando,fastJsonRequest,1.9890252979843414e-05,6.354898068845095e-06
r2dbc,simpleJdbc,1.224821093878947e-06,7.520261348009612e-07
protostuff,bufferedRecycledSerializer,1.636949427135303e-05,2.97075394703014e-06
ReactiveX,flatMapCompletable,0.003177850745945781,0.0001424743117966781
ReactiveX,observableConvert,0.01754975314830196,0.0013911012131612537
hazelcast,OAHashSetBenchmark,3.926803888312082e-07,2.5182085599367856e-07
eclipse-vertx,runOnContextNoChecks,6.207198354900657e-08,6.772214450610216e-09
prestodb,unnest,0.0007983028509454148,0.0022417215274809703
raphw,benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,0.002873803175533547,0.003443847549394174
h2oai,writeMap,0.00013671231305082603,0.0032615510669100228
apache,operators,9.122924653446702e-08,1.494537609677289e-08
HdrHistogram,skinnyEncodeIntoCompressedByteBuffer,7.065256977540927e-05,0.0005438039669519954
apache,allBitsNullBenchmark,5.999760878384938e-08,6.067151348420161e-09
eclipse,testJettyStringUtilReplaceGrowth,2.689115204775634e-07,5.762546234530306e-08
eclipse,selectAll,0.06284577450666633,0.008102346025554917
h2oai,colsRowsRead,9.341306125244543,0.22935804792738035
eclipse,selectDistinct,7.707324964317941,0.07257815057567309
HdrHistogram,roundtripCompressed,2.0272375191160196e-05,0.0001919780294810228
crate,merge,0.7847531249663927,0.017318958078706703
prometheus,prometheusGaugeChildSetBenchmark,4.293284493468522e-08,6.792805577779247e-09
r2dbc,simpleJdbc,1.3303789799577087e-06,7.144958191473275e-07
h2oai,writeMap,0.028727443182934624,0.006567556992386442
jdbi,equalsIgnoreCaseOther,7.476482913338033e-08,5.159712763115915e-09
cantaloupe-project,processor,0.0042199456131466785,0.0011181584308294302
prestodb,BenchmarkJtsGeometrySerde,5.256114484460893e-07,4.3560729605207263e-07
crate,benchmarkHLLPlusPlusMurmur64,0.0006875713029243775,7.509302890416756e-05
RoaringBitmap,iterate,0.10346097541118111,0.0013678671084041724
apache,RecordBatchIterationBenchmark,1.7895781037424934e-07,2.0511168472926255e-07
RoaringBitmap,incrementalUseOrderedWriter,0.0005726027011114509,4.590884363668369e-05
imglib,benchmark5,0.030830669349578878,0.010610031643482395
HdrHistogram,roundtripCompressed,2.6934418454812088e-05,0.00043175556968626477
apache,GraphBinaryReaderWriterBenchmark,4.7920744336806555e-06,9.771875465959341e-07
apache,RecordBatchIterationBenchmark,6.904584515280197e-07,1.500477825732902e-07
eclipse,selectAll,13.292443952742191,0.1722575024142147
hazelcast,OAHashSetBenchmark,5.122638054613932e-07,3.282688564917276e-07
eclipse,testJavaStringReplaceReduce,6.338142136716065e-08,7.922343362200926e-09
eclipse,noReasoning,0.0006128100557889424,0.002572670487138898
eclipse,testJettyStringUtilReplaceGrowth,7.611908264396294e-08,2.8499141636831787e-08
